Full key,en,pl,hu,fr,Namespace,Group,Key,Source file
*::*. < No default category > , < No default category > , < Brak domyślnej kategorii > , < Nincs alapértelmezett kategória >,< Aucune catégorie par défaut >,*,*, < No default category > ,{locale}.json
*::*. < No price provider > , < No price provider > , < Brak dostawcy cen > , < Nincs adatszolgáltató >,< Aucun fournisseur de prix >,*,*, < No price provider > ,{locale}.json
*::*.(No subject),(No subject),(Brak tematu), (Nincs tárgy),(Sans sujet),*,*,(No subject),{locale}.json
"*::*.:type is in use, cannot be deleted",":type is in use, cannot be deleted",":type jest w użyciu, nie można usunąć",":type használatban van, nem törölhető",":type est utilisé, ne peut pas être supprimé",*,*,":type is in use, cannot be deleted",{locale}.json
*::*.A fresh verification link has been sent to your email address.,A fresh verification link has been sent to your email address.,Nowy link weryfikacyjny został wysłany na Twój adres e-mail.,Egy friss ellenőrző linket küldtünk az e-mail címedre.,Un nouveau lien de vérification a été envoyé à votre adresse électronique.,*,*,A fresh verification link has been sent to your email address.,{locale}.json
*::*.Accept recommendation and set it as default category for payee,Accept recommendation and set it as default category for payee,Zaakceptuj rekomendację i ustaw jako domyślną kategorię dla odbiorcy,Ajánlás elfogadása és beállítása alapértelmezett kategóriaként a kedvezményezett számára,Accepter la recommandation et la définir comme catégorie par défaut pour le bénéficiaire,*,*,Accept recommendation and set it as default category for payee,{locale}.json
*::*.Account,Account,Konto,Számla,Compte,*,*,Account,{locale}.json
*::*.Account Groups,Account Groups,Grupy kont,Számla Csoportok,Groupes de comptes,*,*,Account Groups,{locale}.json
*::*.Account added,Account added,Konto dodane,Számla létrehozva,Compte ajouté,*,*,Account added,{locale}.json
*::*.Account deleted,Account deleted,Konto usunięte,Számla törölve,Compte supprimé,*,*,Account deleted,{locale}.json
*::*.Account details,Account details,Szczegóły konta,Számla részletek,Détails du compte,*,*,Account details,{locale}.json
"*::*.Account details for "":account""","Account details for "":account""","Szczegóły konta dla "":account""",""":account"" számla részletei",Détails du compte pour « :account »,*,*,"Account details for "":account""",{locale}.json
*::*.Account from,Account from,Z konta,Erről a számláról,Compte de,*,*,Account from,{locale}.json
*::*.Account group,Account group,Grupa kont,Számla csoport,Groupe de comptes,*,*,Account group,{locale}.json
*::*.Account group added,Account group added,Dodano grupę kont,Számla csoport létrehozva,Groupe de comptes ajouté,*,*,Account group added,{locale}.json
*::*.Account group deleted,Account group deleted,Usunięto grupę kont,Számla csoport törölve,Groupe de comptes supprimé,*,*,Account group deleted,{locale}.json
"*::*.Account group is in use, cannot be deleted","Account group is in use, cannot be deleted","Grupa kont jest w użyciu, nie można jej usunąć","A számla csoport használatban van, nem törölhető",Le groupe de comptes est utilisé et ne peut pas être supprimé.,*,*,"Account group is in use, cannot be deleted",{locale}.json
*::*.Account group updated,Account group updated,Zaktualizowano grupę kont,Számla csoport frissítve,Groupe de comptes mis à jour,*,*,Account group updated,{locale}.json
*::*.Account groups,Account groups,Grupy kont,Számla csoportok,Groupes de comptes,*,*,Account groups,{locale}.json
